0,1.00E-19,93.6,1.52E+02,9.00E-05,5.00E-02,1.50E-08,6.48E+17,5.27E+18,2.26E-05,3.91E-05,1.14E+20,3.55E-10,5.48E-01,2.70E-01,9.64E+10,2.03E-16,3.54E-14,1.26E-19,1.94E-15
50,5.00E-19,70,20,9.00E-05,1.50E-02,1.50E-08,4.45E+16,8.98E-06,2.33E-06,1.22E-06,2.08E+19,1.08E-10,1.38E-01,1.51E-01,1.70E+10,2.89E-15,2.88E-16,3.36E-21,3.11E-14
70,1.00E-18,100,5,9.00E-05,1.50E-02,1.50E-08,1.55E+16,4.08E+16,1.03E-03,3.33E+14,3.64E+18,4.14E-08,1.11E+03,4.57E-01,2.97E+09,2.38E-16,3.97E-18,1.60E-20,2.81E-15
100,7.00E-18,140,1,9.00E-05,1.50E-02,1.50E-08,6.40E+15,2.37E+15,8.71E-05,6.27E+14,5.18E+17,1.59E-05,2.05E+02,1.01E-03,6.01E+08,1.27E-15,5.44E-16,3.38E-20,4.34E-05
150,1.00E-17,160,0.5,9.00E-05,1.50E-02,1.50E-08,3.60E+15,5.09E+14,1.02E-05,3.11E+14,2.27E+17,6.46E-05,3.26E+03,9.81E-02,2.52E+08,1.65E-09,3.96E-09,5.53E-12,5.94E+01
200,3.00E-17,170,0.09,9.00E-05,1.50E-02,1.50E-08,7.31E+14,1.73E+13,1.25E-09,4.75E+13,3.83E+16,1.67E-12,5.23E+02,6.10E-05,4.11E+07,1.09E-09,3.10E-11,3.89E-11,6.40E+02
250,3.00E-17,176,0.045,9.00E-05,1.50E-02,1.50E-08,3.44E+14,4.39E+12,7.25E-10,2.12E+13,1.85E+16,1.38E-14,1.32E+03,3.59E-05,2.00E+07,1.12E-10,5.66E-06,2.47E+02,1.65E+02
300,6.00E-17,178,0.01,8.00E-05,1.50E-02,1.50E-08,4.45E+13,3.74E+11,8.99E-11,3.95E+12,4.05E+15,2.42E-15,1.46E+03,6.47E-06,5.34E+06,1.25E-12,6.94E-04,1.49E+01,9.03E+00
350,4.00E-16,175,0.005,3.00E-05,1.50E-02,1.50E-08,1.79E+13,1.45E+11,2.08E-07,1.79E+12,2.06E+15,3.90E-12,7.45E+05,1.63E-03,2.27E+06,1.48E-13,7.35E-07,5.35E+00,2.31E+00
400,1.00E-14,166,0.001,1.50E-05,1.50E-02,1.50E-08,2.74E+12,1.30E+10,9.48E-05,2.01E+11,4.33E+14,1.45E-08,1.76E+07,1.75E-02,4.86E+05,3.92E-15,2.27E-10,9.76E-18,2.22E-01
450,5.00E-13,153,6.00E-04,5.00E-06,1.50E-02,1.50E-08,1.89E+12,7.57E+09,1.23E-04,1.24E+11,2.82E+14,1.40E-08,1.02E+07,9.24E-03,3.15E+05,1.62E-15,1.11E-10,7.82E-19,1.36E-01
500,5.00E-12,143,1.00E-04,2.50E-06,1.50E-02,1.50E-08,3.27E+11,5.06E+08,2.29E-05,6.25E+09,5.03E+13,5.66E-11,1.79E+07,3.58E-04,5.72E+04,8.51E-18,2.15E-12,2.01E-21,1.12E-02
550,2.00E-11,135.5,6.50E-05,1.50E-06,1.50E-02,1.50E-08,2.36E+11,2.82E+08,2.57E-05,3.56E+09,3.45E+13,5.87E-11,2.85E+07,1.75E-04,3.93E+04,3.11E-18,9.45E-13,5.38E-22,7.10E-03
600,1.00E-10,137,1.00E-05,1.00E-06,1.50E-02,1.50E-08,4.02E+10,1.75E+08,3.73E-05,1.23E+08,5.25E+12,3.58E-14,4.87E+07,3.37E-05,5.73E+03,1.27E-19,8.06E-14,1.70E-23,5.15E-03
